"StationID" "day_of_week" "time_of_day" "meanHeadway" "SDHeadway" "Flow_rate"
"1" 70002 1 1 672.239130434783 253.741529450967 0.000114041402903754
"2" 70002 1 2 961.181818181818 278.629748584994 6.07610654257241e-05
"3" 70002 1 3 543.666666666667 154.907499280485 2.76803375116628e-05
"4" 70002 1 4 517 205.263245614016 NA
"5" 70002 1 5 NA NA NA
"6" 70002 1 6 NA NA NA
"7" 70002 1 7 NA NA NA
"8" 70002 1 10 NA NA NA
"9" 70002 1 11 NA NA NA
"10" 70002 1 12 749.15 141.63863396538 0.000979731076467427
"11" 70002 1 13 771.477272727273 205.022686054593 0.00174510810100271
"12" 70002 1 14 462.986842105263 211.533795151574 0.00343352820762226
"13" 70002 1 15 361.177083333333 153.191589352176 0.00319101407271191
"14" 70002 1 16 482.810810810811 246.2072673819 0.00257673088514338
"15" 70002 1 17 345.760416666667 209.22572775237 0.00282942712608004
"16" 70002 1 18 403.922222222222 199.50642623075 0.002350582248535
"17" 70002 1 19 381.15 209.708810862909 0.00251160463525172
"18" 70002 1 20 360.587628865979 185.867490465728 0.00171530068241552
"19" 70002 1 21 390.906976744186 190.578538876139 0.00208512010371893
"20" 70002 1 22 409.468085106383 211.23913484193 0.00155277804764922
"21" 70002 1 23 478.078947368421 182.747020999552 0.00208398728357911
"22" 70002 1 24 527.771428571429 151.166687096677 0.00249584762502242
"23" 70002 1 25 539.484848484848 234.150197846415 0.00218534125476772
"24" 70002 1 26 485.774647887324 146.091771273412 0.00277986131098055
"25" 70002 1 27 552.071428571429 157.101215544202 0.00270247227633332
"26" 70002 1 28 502.888888888889 224.558192561829 0.00298882972947479
"27" 70002 1 29 535.323529411765 176.500935786828 0.0044332587432313
"28" 70002 1 30 435.256756756757 240.102093628273 0.0102016794184491
"29" 70002 1 31 422.842857142857 239.786960743163 0.00448573224587764
"30" 70002 1 32 492.896103896104 210.210144505544 0.00435067080762499
"31" 70002 1 33 433.75 243.059607692365 0.00571118027662001
"32" 70002 1 34 386.954545454545 198.147565415906 0.00552965118786675
"33" 70002 1 35 385.880434782609 212.977780525601 0.00468567383292646
"34" 70002 1 36 384.118279569892 226.271088350003 0.00426829277785524
"35" 70002 1 37 343.765957446808 172.465263794598 0.00369560434663436
"36" 70002 1 38 406.591836734694 204.025409612934 0.00296862589354095
"37" 70002 1 39 467.671052631579 234.395528293973 0.00219909142385061
"38" 70002 1 40 486.081081081081 221.562802671347 0.00420881405765149
"39" 70002 1 41 528.932432432432 196.874296247045 0.000943633042085505
"40" 70002 1 42 612.6875 178.30764167406 0.00133269282146574
"41" 70002 1 43 573.75 167.877742917768 0.000924760984471018
"42" 70002 1 44 623.741935483871 174.301033685212 0.000435789669142107
"43" 70002 1 45 622.472727272727 208.092826023446 0.000562973259692299
"44" 70002 1 46 601.258064516129 238.744457354519 0.00047545325781474
"45" 70002 1 47 623.984126984127 236.405439874061 0.000504640889312025
"46" 70002 1 48 604.984126984127 219.166492322359 0.000101262698923413
"47" 70002 3 1 689.304347826087 302.128875990876 5.93173868312757e-05
"48" 70002 3 2 894.052631578947 227.025322543595 NA
"49" 70002 3 3 1243.29411764706 180.862781102789 NA
"50" 70002 3 4 817.5 150.613744392735 NA
"51" 70002 3 5 NA NA NA
"52" 70002 3 6 NA NA NA
"53" 70002 3 7 NA NA NA
"54" 70002 3 10 NA NA NA
"55" 70002 3 11 NA NA NA
"56" 70002 3 12 595.571428571429 62.5162835930425 NA
"57" 70002 3 13 562.777777777778 172.592534619942 NA
"58" 70002 3 14 602.392857142857 216.25676427626 0.000458288104998325
"59" 70002 3 15 661.538461538462 158.729513517614 0.000651831824482236
"60" 70002 3 16 667.964285714286 153.290690240098 0.002161250509684
"61" 70002 3 17 663.703703703704 187.26612384412 0.000459524226507343
"62" 70002 3 18 686.346153846154 228.196221232113 0.000570557952408826
"63" 70002 3 19 685.931034482759 192.946500918645 0.000960663498627938
"64" 70002 3 20 610.846153846154 169.689054993583 0.000790942843855675
"65" 70002 3 21 725.666666666667 136.282528360138 0.000931527941259517
"66" 70002 3 22 633.875 142.882533846026 0.00143748614942769
"67" 70002 3 23 624.571428571429 161.811602516614 0.000985763726537035
"68" 70002 3 24 650.962962962963 193.494281664955 0.00185538395688093
"69" 70002 3 25 578.321428571429 182.391734212367 0.00205304793453147
"70" 70002 3 26 579.676470588235 220.205650519007 0.00217840494858799
"71" 70002 3 27 615.407407407407 131.458463536311 0.00128922066869464
"72" 70002 3 28 558.483870967742 165.751394356677 0.00153319668977181
"73" 70002 3 29 581.176470588235 161.582415520216 0.00142762318790097
"74" 70002 3 30 640.607142857143 164.039818852961 0.00103071381866417
"75" 70002 3 31 543.387096774194 221.807976625332 0.000981959638378536
"76" 70002 3 32 592.379310344828 207.168739677364 0.000816495060790274
"77" 70002 3 33 597.733333333333 210.667565107934 0.000857983630952381
"78" 70002 3 34 580.818181818182 195.69035722051 0.00105078538371361
"79" 70002 3 35 574.148148148148 166.662649524237 0.00115004658729093
"80" 70002 3 36 600.677419354839 179.081245453337 0.00117161324593657
"81" 70002 3 37 627.0625 225.229479749848 0.000695977383268482
"82" 70002 3 38 610.275862068965 259.917005510787 0.000598304153696498
"83" 70002 3 39 630.375 195.758016660765 0.000197442051282051
"84" 70002 3 40 676.434782608696 185.441200209602 0.000500607898812597
"85" 70002 3 41 679.28 217.65253655004 0.000710449532931181
"86" 70002 3 42 625.407407407407 169.249306159073 0.000983750868464823
"87" 70002 3 43 668.652173913043 182.348220495256 0.000544802936086292
"88" 70002 3 44 675.708333333333 178.131724383626 0.000534849276597605
"89" 70002 3 45 714.875 242.926596982996 0.000722672021976543
"90" 70002 3 46 638.380952380952 114.768234364077 0.000545394890453834
"91" 70002 3 47 684.16 261.021499753054 0.000232111513687601
"92" 70002 3 48 752.272727272727 230.138712171218 5.93173868312757e-05
"93" 70003 1 1 1017.2380952381 273.934370769654 0.00241458285612957
"94" 70003 1 2 365 56.5597029695171 0.0016584412155105
"95" 70003 1 3 550.5 194.454364826301 0.000326906332400308
"96" 70003 1 4 673 482.246824769225 0.000342328234728235
"97" 70003 1 5 NA NA 0.000105888888888889
"98" 70003 1 6 NA NA NA
"99" 70003 1 7 NA NA NA
"100" 70003 1 10 NA NA NA
"101" 70003 1 11 875 362.144998584821 0.00729077077589376
"102" 70003 1 12 597.738095238095 28.9516497898079 0.0177193207693141
"103" 70003 1 13 514.3375 98.6619267556601 0.0312037330929826
"104" 70003 1 14 399.688172043011 118.195856112036 0.0476508667567658
"105" 70003 1 15 374.020202020202 97.2905368846616 0.0726807315179387
"106" 70003 1 16 421.025641025641 131.304145230753 0.120325534584797
"107" 70003 1 17 386.632183908046 123.515380356901 0.149162850679905
"108" 70003 1 18 373.3 96.1233950227887 0.144935453908189
"109" 70003 1 19 389.698924731183 131.957979555601 0.0908509216454118
